Gyro.gyro_X,Gyro.gyro_Y,Vehicle_States.lateral_vel_wrt_road,Vehicle_States.longitudinal_vel_wrt_road,Vehicle_States.roll_angle,Vehicle_States.yaw_angle,driving_machine_monitor.path_distance,driving_machine_monitor.path_curvature,driver_demands.steering
31.5942101,2.19E-05,8.65E-05,18.91565107,-4.99E-06,-5.39E-06,-7.00E-06,0,7.22E-05
31.78336689,2.17E-05,8.65E-05,18.91570855,-4.99E-06,-5.38E-06,-6.81E-06,0,7.22E-05
31.97252428,2.16E-05,8.65E-05,18.91576867,-4.99E-06,-5.36E-06,-6.63E-06,0,7.22E-05
32.16168227,2.14E-05,8.65E-05,18.91583139,-4.98E-06,-5.35E-06,-6.45E-06,0,7.22E-05
32.35084091,2.13E-05,8.65E-05,18.91589671,-4.98E-06,-5.34E-06,-6.27E-06,0,7.22E-05
32.54000022,2.11E-05,8.65E-05,18.9159646,-4.98E-06,-5.32E-06,-6.09E-06,0,7.22E-05
32.72916021,2.10E-05,8.65E-05,18.91603503,-4.98E-06,-5.31E-06,-5.92E-06,0,7.21E-05
32.91832093,2.08E-05,8.65E-05,18.91610798,-4.98E-06,-5.30E-06,-5.75E-06,0,7.21E-05
33.10748238,2.07E-05,8.65E-05,18.91618345,-4.98E-06,-5.28E-06,-5.58E-06,0,7.21E-05
33.2966446,2.05E-05,8.65E-05,18.91626139,-4.98E-06,-5.27E-06,-5.41E-06,0,7.21E-05
33.48580762,2.04E-05,8.65E-05,18.9163418,-4.98E-06,-5.26E-06,-5.24E-06,0,7.21E-05
33.67497145,2.03E-05,8.64E-05,18.91642464,-4.98E-06,-5.24E-06,-5.08E-06,0,7.20E-05
33.86413612,2.01E-05,8.64E-05,18.91650991,-4.98E-06,-5.23E-06,-4.92E-06,0,7.20E-05
34.05330165,2.00E-05,8.64E-05,18.91659757,-4.98E-06,-5.22E-06,-4.77E-06,0,7.20E-05
34.24246808,1.99E-05,8.64E-05,18.91668761,-4.98E-06,-5.20E-06,-4.61E-06,0,7.19E-05
34.43163541,1.97E-05,8.64E-05,18.91678001,-4.98E-06,-5.19E-06,-4.46E-06,0,7.19E-05
34.62080368,1.96E-05,8.64E-05,18.91687474,-4.98E-06,-5.18E-06,-4.31E-06,0,7.18E-05
34.80997292,1.95E-05,8.64E-05,18.91697178,-4.98E-06,-5.16E-06,-4.16E-06,0,7.18E-05
34.99914313,1.94E-05,8.64E-05,18.91707112,-4.98E-06,-5.15E-06,-4.02E-06,0,7.18E-05
