time.TIME,Gyro.gyro_X,Gyro.gyro_Y,Vehicle_States.lateral_vel_wrt_road,Vehicle_States.longitudinal_vel_wrt_road,Vehicle_States.roll_angle,Vehicle_States.yaw_angle,driving_machine_monitor.path_curvature,driving_machine_monitor.path_distance,driver_demands.steering
0.93,15.52998969,3.73516E-05,8.23408E-05,17.92578975,-5.45081E-06,-5.38914E-06,0,-2.22793E-05,5.5798E-05
0.94,15.70924702,3.71986E-05,8.22854E-05,17.92567733,-5.44058E-06,-5.41143E-06,0,-2.21724E-05,5.6135E-05
0.95,15.88850325,3.7041E-05,8.2232E-05,17.92556921,-5.4304E-06,-5.43286E-06,0,-2.20593E-05,5.64753E-05
0.96,16.06775842,3.68793E-05,8.21819E-05,17.9254653,-5.42027E-06,-5.45349E-06,0,-2.19403E-05,5.68197E-05
0.97,16.24701257,3.67134E-05,8.21356E-05,17.92536555,-5.41019E-06,-5.47337E-06,0,-2.18157E-05,5.71687E-05
0.98,16.42626574,3.65436E-05,8.20937E-05,17.92526996,-5.40019E-06,-5.49253E-06,0,-2.16856E-05,5.75228E-05
0.99,16.60551798,3.637E-05,8.20569E-05,17.92517855,-5.39027E-06,-5.51102E-06,0,-2.15505E-05,5.78821E-05
1,16.78476933,3.61929E-05,8.20254E-05,17.92509131,-5.38043E-06,-5.52887E-06,0,-2.14104E-05,5.82466E-05
1.01,16.96401982,3.60123E-05,8.19993E-05,17.92500819,-5.37069E-06,-5.54611E-06,0,-2.12657E-05,5.8616E-05
1.02,17.1432695,3.58285E-05,8.19789E-05,17.92492912,-5.36107E-06,-5.56275E-06,0,-2.11165E-05,5.899E-05
1.03,17.32251842,3.56416E-05,8.19641E-05,17.92485406,-5.35157E-06,-5.5788E-06,0,-2.0963E-05,5.9368E-05
1.04,17.5017666,3.54518E-05,8.19548E-05,17.92478297,-5.3422E-06,-5.59429E-06,0,-2.08054E-05,5.97493E-05
1.05,17.68101409,3.52592E-05,8.19509E-05,17.92471585,-5.33299E-06,-5.6092E-06,0,-2.06439E-05,6.01333E-05
1.06,17.86026093,3.5064E-05,8.1952E-05,17.92465268,-5.32393E-06,-5.62354E-06,0,-2.04786E-05,6.0519E-05
1.07,18.03950715,3.48663E-05,8.19579E-05,17.92459343,-5.31503E-06,-5.63732E-06,0,-2.03096E-05,6.09058E-05
1.08,18.21875281,3.46663E-05,8.19683E-05,17.92453804,-5.30631E-06,-5.65052E-06,0,-2.01372E-05,6.12925E-05
1.09,18.39799793,3.44641E-05,8.19826E-05,17.92448647,-5.29776E-06,-5.66313E-06,0,-1.99615E-05,6.16784E-05
1.1,18.57724255,3.42598E-05,8.20006E-05,17.92443868,-5.2894E-06,-5.67516E-06,0,-1.97826E-05,6.20625E-05
